Date,Symbol,Close,High,Low,Open,Volume
2023/1/31,BTC-USD,23139.2832,23225.02148,22765.56836,22840.79688,22837828665
2023/2/1,BTC-USD,23723.76953,23764.53906,22877.75,23137.83594,26683255504
2023/2/2,BTC-USD,23471.87109,24167.21094,23468.5957,23720.82422,32066936882
2023/2/3,BTC-USD,23449.32227,23678.10352,23279.95508,23469.41211,27083066007
2023/2/4,BTC-USD,23331.84766,23556.94922,23291.79492,23446.32031,15639298538
2023/2/5,BTC-USD,22955.66602,23423.43555,22841.75977,23332.24805,19564262605
2023/2/6,BTC-USD,22760.10938,23119.2793,22692.02539,22954.02148,23825006542
2023/2/7,BTC-USD,23264.29102,23310.97461,22756.25781,22757.26758,27187964471
2023/2/8,BTC-USD,22939.39844,23367.95898,22731.09766,23263.41602,25371367758
2023/2/9,BTC-USD,21819.03906,22996.4375,21773.97461,22946.56641,32572572185
2023/2/10,BTC-USD,21651.18359,21941.18555,21539.39258,21819.00586,27078406594
2023/2/11,BTC-USD,21870.875,21891.41016,21618.44922,21651.8418,16356226232
2023/2/12,BTC-USD,21788.20313,22060.99414,21682.82813,21870.90234,17821046406
2023/2/13,BTC-USD,21808.10156,21898.41406,21460.08789,21787,23918742607
2023/2/14,BTC-USD,22220.80469,22293.14063,21632.39453,21801.82227,26792596581
2023/2/15,BTC-USD,24307.8418,24307.8418,22082.76953,22220.58594,32483312909
2023/2/16,BTC-USD,23623.47461,25134.11719,23602.52344,24307.34961,39316664596
2023/2/17,BTC-USD,24565.60156,24924.04102,23460.75586,23621.2832,41358451255
2023/2/18,BTC-USD,24641.27734,24798.83594,24468.37305,24565.29688,19625427158
2023/2/19,BTC-USD,24327.64258,25093.05469,24327.64258,24640.02734,25555105670
2023/2/20,BTC-USD,24829.14844,25020.45898,23927.91016,24336.62305,28987376573
2023/2/21,BTC-USD,24436.35352,25126.85156,24200.36328,24833.04883,31252098714
2023/2/22,BTC-USD,24188.84375,24472.33984,23644.31836,24437.41797,30199996781
2023/2/23,BTC-USD,23947.49219,24572.08984,23693.91992,24190.71875,30476264066
2023/2/24,BTC-USD,23198.12695,24103.70508,23007.07227,23946.00781,26811744928
2023/2/25,BTC-USD,23175.375,23210.21094,22861.55859,23200.125,16100721565
2023/2/26,BTC-USD,23561.21289,23654.36719,23084.2207,23174.15039,16644534842
2023/2/27,BTC-USD,23522.87109,23857.89063,23205.87891,23561.45117,22660763494
2023/2/28,BTC-USD,23147.35352,23585.38477,23077.65039,23521.83789,20535363434
2023/3/1,BTC-USD,23646.55078,23880.63281,23088.62695,23150.92969,24662841200
2023/3/2,BTC-USD,23475.4668,23739.13867,23245.02148,23647.01953,20386398516
2023/3/3,BTC-USD,22362.67969,23479.34766,22213.23828,23476.63281,26062404610
2023/3/4,BTC-USD,22353.34961,22405.17773,22198.98047,22362.92383,11166012913
2023/3/5,BTC-USD,22435.51367,22613.68555,22307.14258,22354.14453,13317001733
2023/3/6,BTC-USD,22429.75781,22584.29297,22331.31445,22436.81641,17353192895
2023/3/7,BTC-USD,22219.76953,22527.41797,22011.26172,22428.32227,22765452204
2023/3/8,BTC-USD,21718.08008,22268.89648,21708.05078,22216.44141,22536575684
2023/3/9,BTC-USD,20363.02148,21802.7168,20210.30664,21720.08008,30364664171
2023/3/10,BTC-USD,20187.24414,20370.5957,19628.25391,20367.00195,39578257695
2023/3/11,BTC-USD,20632.41016,20792.52539,20068.66016,20187.87695,30180288176
2023/3/12,BTC-USD,22163.94922,22185.03125,20448.80664,20628.0293,29279035521
2023/3/13,BTC-USD,24197.5332,24550.83789,21918.19922,22156.40625,49466362688
2023/3/14,BTC-USD,24746.07422,26514.7168,24081.18359,24201.76563,54622230164
2023/3/15,BTC-USD,24375.96094,25240.61523,23964.91016,24770.92578,43655701450
2023/3/16,BTC-USD,25052.78906,25190.32617,24225.11133,24373.45703,33866061747
2023/3/17,BTC-USD,27423.92969,27787.8125,24955.16992,25055.12305,50730261335
2023/3/18,BTC-USD,26965.87891,27725.95313,26636.26172,27448.11719,35723036817
2023/3/19,BTC-USD,28038.67578,28440.56055,26907.7168,26969.50391,37769448859
2023/3/20,BTC-USD,27767.23633,28527.72461,27242.88086,28041.60156,44774027664
2023/3/21,BTC-USD,28175.81641,28439.5625,27439.64648,27768.39258,36102192830
2023/3/22,BTC-USD,27307.4375,28803.33594,26759.99609,28158.7207,33382021890
2023/3/23,BTC-USD,28333.97266,28729.84375,27183.36328,27301.95703,24220433689
2023/3/24,BTC-USD,27493.28516,28388.4375,27039.26563,28324.11133,25980310960
2023/3/25,BTC-USD,27494.70703,27791.82617,27196.23438,27487.33789,13383005987
2023/3/26,BTC-USD,27994.33008,28178.14453,27445.04688,27495.52344,13878363192
